identifier,name,flavor_text
stench,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch."
drizzle,Drizzle,The Pokémon makes it rain when it enters a battle.
speed-boost,Speed Boost,Its Speed stat is boosted every turn.
battle-armor,Battle Armor,Hard armor protects the Pokémon from critical hits.
sturdy,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either."
damp,Damp,Prevents the use of explosive moves such as [[moves:Self-Destruct]] by dampening its surroundings.
limber,Limber,Its limber body protects the Pokémon from paralysis.
sand-veil,Sand Veil,Boosts the Pokémon’s evasion in a sandstorm.
static,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis."
volt-absorb,Volt Absorb,"Restores HP if hit by an [[types:Electric]]-type move, instead of taking damage."
water-absorb,Water Absorb,"Restores HP if hit by a [[types:Water]]-type move, instead of taking damage."
oblivious,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts."
cloud-nine,Cloud Nine,Eliminates the effects of weather.
compound-eyes,Compound Eyes,The Pokémon’s compound eyes boost its accuracy.
insomnia,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.
color-change,Color Change,The Pokémon’s type becomes the type of the move used on it.
immunity,Immunity,The immune system of the Pokémon prevents it from getting poisoned.
flash-fire,Flash Fire,Powers up the Pokémon’s [[types:Fire]]-type moves if it’s hit by one.
shield-dust,Shield Dust,This Pokémon’s dust blocks the additional effects of attacks taken.
own-tempo,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused."
suction-cups,Suction Cups,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.
intimidate,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat."
shadow-tag,Shadow Tag,This Pokémon steps on the opposing Pokémon’s shadow to prevent it from escaping.
rough-skin,Rough Skin,This Pokémon inflicts damage with its rough skin to the attacker on contact.
wonder-guard,Wonder Guard,Its mysterious power only lets supereffective moves hit the Pokémon.
levitate,Levitate,"By floating in the air, the Pokémon receives full immunity to all [[types:Ground]]-type moves."
effect-spore,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker."
synchronize,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon."
clear-body,Clear Body,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
natural-cure,Natural Cure,All status conditions heal when the Pokémon switches out.
lightning-rod,Lightning Rod,"The Pokémon draws in all [[types:Electric]]-type moves.  Instead of being hit by [[types:Electric]]-type moves,  it boosts its Sp. Atk."
serene-grace,Serene Grace,Boosts the likelihood of additional effects occurring  when attacking.
swift-swim,Swift Swim,Boosts the Pokémon’s Speed stat in rain.
chlorophyll,Chlorophyll,Boosts the Pokémon’s Speed stat in harsh sunlight.
illuminate,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.
trace,Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon’s Ability."
huge-power,Huge Power,Doubles the Pokémon’s Attack stat.
poison-point,Poison Point,Contact with the Pokémon may poison the attacker.
inner-focus,Inner Focus,"The Pokémon’s intensely focused, and that protects the Pokémon from flinching."
magma-armor,Magma Armor,"The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen."
water-veil,Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn."
magnet-pull,Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.
soundproof,Soundproof,Soundproofing of the Pokémon itself gives full  immunity to all sound-based moves.
rain-dish,Rain Dish,The Pokémon gradually regains HP in rain.
sand-stream,Sand Stream,The Pokémon summons a sandstorm when it enters a battle.
pressure,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage."
thick-fat,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from [[types:Fire]]- and [[types:Ice]]-type moves."
early-bird,Early Bird,The Pokémon awakens twice as fast as other Pokémon from sleep.
flame-body,Flame Body,Contact with the Pokémon may burn the attacker.
run-away,Run Away,Enables a sure getaway from wild Pokémon.
keen-eye,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon’s accuracy.
hyper-cutter,Hyper Cutter,The Pokémon’s proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.
pickup,Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too."
truant,Truant,The Pokémon can’t use a move the following turn if it uses one.
hustle,Hustle,"Boosts the Attack stat, but lowers accuracy."
cute-charm,Cute Charm,Contact with the Pokémon may cause infatuation.
plus,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the [[abilities:Plus]] or [[abilities:Minus]] Ability is also in battle.
minus,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the [[abilities:Plus]] or [[abilities:Minus]] Ability is also in battle.
forecast,Forecast,"The Pokémon transforms with the weather to change its type to [[types:Water]], [[types:Fire]], or [[types:Ice]]."
sticky-hold,Sticky Hold,Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.
shed-skin,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.
guts,Guts,It’s so gutsy that having a status condition boosts the Pokémon’s Attack stat.
marvel-scale,Marvel Scale,The Pokémon’s marvelous scales boost the Defense stat if it has a status condition.
liquid-ooze,Liquid Ooze,"Oozed liquid has strong stench, which damages attackers using any draining move."
overgrow,Overgrow,Powers up [[types:Grass]]-type moves when the Pokémon’s HP is low.
blaze,Blaze,Powers up [[types:Fire]]-type moves when the Pokémon’s HP is low.
torrent,Torrent,Powers up [[types:Water]]-type moves when the Pokémon’s HP is low.
swarm,Swarm,Powers up [[types:Bug]]-type moves when the Pokémon’s HP is low.
rock-head,Rock Head,Protects the Pokémon from recoil damage.
drought,Drought,Turns the sunlight harsh when the Pokémon enters a battle.
arena-trap,Arena Trap,Prevents opposing Pokémon from fleeing.
vital-spirit,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep."
white-smoke,White Smoke,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats."
pure-power,Pure Power,"Using its pure power, the Pokémon doubles its Attack stat."
shell-armor,Shell Armor,A hard shell protects the Pokémon from critical hits.
air-lock,Air Lock,Eliminates the effects of weather.
tangled-feet,Tangled Feet,Raises evasion if the Pokémon is confused.
motor-drive,Motor Drive,"Boosts its Speed stat if hit by an [[types:Electric]]-type move, instead of taking damage."
rivalry,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender."
steadfast,Steadfast,The Pokémon’s determination boosts the Speed stat each time the Pokémon flinches.
snow-cloak,Snow Cloak,Boosts evasion in a hailstorm.
gluttony,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual."
anger-point,Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat."
unburden,Unburden,Boosts the Speed stat if the Pokémon’s held item is  used or lost.
heatproof,Heatproof,The heatproof body of the Pokémon halves the damage from [[types:Fire]]-type moves that hit it.
simple,Simple,The stat changes the Pokémon receives are doubled.
dry-skin,Dry Skin,"Restores HP in rain or when hit by [[types:Water]]-type moves. Reduces HP in harsh sunlight, and increases the damage received from [[types:Fire]]-type moves."
download,Download,Compares an opposing Pokémon’s Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.
iron-fist,Iron Fist,Powers up punching moves.
poison-heal,Poison Heal,"Restores HP if the Pokémon is poisoned, instead of losing HP."
adaptability,Adaptability,Powers up moves of the same type as the Pokémon.
skill-link,Skill Link,Maximizes the number of times multi-strike moves hit.
hydration,Hydration,Heals status conditions if it’s raining.
solar-power,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn."
quick-feet,Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.
normalize,Normalize,All the Pokémon’s moves become Normal type. The power of those moves is boosted a little.
sniper,Sniper,Powers up moves if they become critical hits when attacking.
magic-guard,Magic Guard,The Pokémon only takes damage from attacks.
no-guard,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.
stall,Stall,The Pokémon moves after all other Pokémon do.
technician,Technician,Powers up the Pokémon’s weaker moves.
leaf-guard,Leaf Guard,Prevents status conditions in harsh sunlight.
klutz,Klutz,The Pokémon can’t use any held items.
mold-breaker,Mold Breaker,Moves can be used on the target regardless of its Abilities.
super-luck,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.
aftermath,Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.
anticipation,Anticipation,The Pokémon can sense an opposing Pokémon’s dangerous moves.
forewarn,Forewarn,"When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has."
unaware,Unaware,"When attacking, the Pokémon ignores the target Pokémon’s stat changes."
tinted-lens,Tinted Lens,The Pokémon can use “not very effective” moves to deal regular damage. 
filter,Filter,Reduces the power of supereffective attacks taken.
slow-start,Slow Start,"For five turns, the Pokémon’s Attack and Speed stats are halved."
scrappy,Scrappy,The Pokémon can hit [[types:Ghost]]-type Pokémon with [[types:Normal]]- and [[types:Fighting]]-type moves.
storm-drain,Storm Drain,"Draws in all [[types:Water]]-type moves. Instead of being hit  by [[types:Water]]-type moves, it boosts its Sp. Atk."
ice-body,Ice Body,The Pokémon gradually regains HP in a hailstorm.
solid-rock,Solid Rock,Reduces the power of supereffective attacks taken.
snow-warning,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.
honey-gather,Honey Gather,The Pokémon may gather Honey after a battle.
frisk,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon’s held item."
reckless,Reckless,Powers up moves that have recoil damage.
multitype,Multitype,Changes the Pokémon’s type to match the Plate or Z-Crystal it holds.
flower-gift,Flower Gift,Boosts the Attack and Sp. Def stats of itself and allies in harsh sunlight.
