identifier,name,value,pocket,flavor_text
master-ball,Master Ball,0,Poké Balls,"The best Poké Ball with the ultimate level of performance. With it, you will catch any wild Pokémon without fail."
ultra-ball,Ultra Ball,800,Poké Balls,An ultra-high-performance Poké Ball that provides a higher success rate for catching Pokémon than a Great Ball.
great-ball,Great Ball,600,Poké Balls,"A good, high-performance Poké Ball that provides a higher Pokémon catch rate than a standard Poké Ball."
poke-ball,Poké Ball,200,Poké Balls,"A device for catching wild Pokémon. It’s thrown like a ball at a Pokémon, comfortably encapsulating its target."
safari-ball,Safari Ball,0,Poké Balls,A special Poké Ball that is used only in the Great Marsh. It is recognizable by the camouflage pattern decorating it.
net-ball,Net Ball,1000,Poké Balls,A somewhat different Poké Ball that is more effective when attempting to catch Water- or Bug-type Pokémon.
dive-ball,Dive Ball,1000,Poké Balls,A somewhat different Poké Ball that works especially well when catching Pokémon that live underwater.
nest-ball,Nest Ball,1000,Poké Balls,A somewhat different Poké Ball that becomes more effective the lower the level of the wild Pokémon.
repeat-ball,Repeat Ball,1000,Poké Balls,A somewhat different Poké Ball that works especially well on a Pokémon species that has been caught before.
timer-ball,Timer Ball,1000,Poké Balls,A somewhat different Poké Ball that becomes progressively more effective the more turns that are taken in battle.
luxury-ball,Luxury Ball,1000,Poké Balls,A particularly comfortable Poké Ball that makes a wild Pokémon quickly grow friendlier after being caught.
premier-ball,Premier Ball,20,Poké Balls,A somewhat rare Poké Ball that was made as a commemorative item used to celebrate an event of some sort.
dusk-ball,Dusk Ball,1000,Poké Balls,A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places like caves.
heal-ball,Heal Ball,300,Poké Balls,A remedial Poké Ball that restores the HP of a Pokémon caught with it and eliminates any status conditions.
quick-ball,Quick Ball,1000,Poké Balls,A somewhat different Poké Ball that has a more successful catch rate if used at the start of a wild encounter.
cherish-ball,Cherish Ball,0,Poké Balls,A quite rare Poké Ball that has been crafted in order to commemorate a special occasion of some sort.
