identifier,name,type,damage_class,power,accuracy,pp,priority,target_identifier,flavor_text
pound,Pound,normal,physical,40,100,35,0,chosen,"The target is physically pounded with a long tail, a foreleg, or the like."
karate-chop,Karate Chop,fighting,physical,50,100,25,0,chosen,The target is attacked with a sharp chop. Critical hits land more easily.
double-slap,Double Slap,normal,physical,15,85,10,0,chosen,"The target is slapped repeatedly, back and forth, two to five times in a row."
comet-punch,Comet Punch,normal,physical,18,85,15,0,chosen,The target is hit with a flurry of punches that strike two to five times in a row.
mega-punch,Mega Punch,normal,physical,80,85,20,0,chosen,The target is slugged by a punch thrown with muscle-packed power.
pay-day,Pay Day,normal,physical,40,100,20,0,chosen,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
fire-punch,Fire Punch,fire,physical,75,100,15,0,chosen,The target is punched with a fiery fist. This may also leave the target with a burn.
ice-punch,Ice Punch,ice,physical,75,100,15,0,chosen,The target is punched with an icy fist. This may also leave the target frozen.
thunder-punch,Thunder Punch,electric,physical,75,100,15,0,chosen,The target is punched with an electrified fist. This may also leave the target with paralysis.
scratch,Scratch,normal,physical,40,100,35,0,chosen,"Hard, pointed, sharp claws rake the target to inflict damage."
vise-grip,Vise Grip,normal,physical,55,100,30,0,chosen,The target is gripped and squeezed from both sides to inflict damage.
guillotine,Guillotine,normal,physical,,30,5,0,chosen,"A vicious, tearing attack with big pincers. The target faints instantly if this attack hits."
razor-wind,Razor Wind,normal,special,80,100,10,0,all-opponents,"In this two-turn attack, blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily."
swords-dance,Swords Dance,normal,status,,,20,0,self,A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.
cut,Cut,normal,physical,50,95,30,0,chosen,The target is cut with a scythe or claw.
gust,Gust,flying,special,40,100,35,0,chosen,A gust of wind is whipped up by wings and launched at the target to inflict damage.
wing-attack,Wing Attack,flying,physical,60,100,35,0,chosen,"The target is struck with large, imposing wings spread wide to inflict damage."
whirlwind,Whirlwind,normal,status,,,20,-6,chosen,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
fly,Fly,flying,physical,90,95,15,0,chosen,The user flies up into the sky and then strikes its target on the next turn.
bind,Bind,normal,physical,15,85,20,0,chosen,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
slam,Slam,normal,physical,80,75,20,0,chosen,"The target is slammed with a long tail, vines, or the like to inflict damage."
vine-whip,Vine Whip,grass,physical,45,100,25,0,chosen,"The target is struck with slender, whiplike vines to inflict damage."
stomp,Stomp,normal,physical,65,100,20,0,chosen,The target is stomped with a big foot. This may also make the target flinch.
double-kick,Double Kick,fighting,physical,30,100,30,0,chosen,The target is quickly kicked twice in succession using both feet.
mega-kick,Mega Kick,normal,physical,120,75,5,0,chosen,The target is attacked by a kick launched with muscle-packed power.
jump-kick,Jump Kick,fighting,physical,100,95,10,0,chosen,"The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself."
rolling-kick,Rolling Kick,fighting,physical,60,85,15,0,chosen,"The user lashes out with a quick, spinning kick. This may also make the target flinch."
sand-attack,Sand Attack,ground,status,,100,15,0,chosen,"Sand is hurled in the target’s face, reducing the target’s accuracy."
headbutt,Headbutt,normal,physical,70,100,15,0,chosen,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.
horn-attack,Horn Attack,normal,physical,65,100,25,0,chosen,The target is jabbed with a sharply pointed horn to inflict damage.
fury-attack,Fury Attack,normal,physical,15,85,20,0,chosen,The target is jabbed repeatedly with a horn or beak two to five times in a row.
horn-drill,Horn Drill,normal,physical,,30,5,0,chosen,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.
tackle,Tackle,normal,physical,40,100,35,0,chosen,A physical attack in which the user charges and slams into the target with its whole body.
body-slam,Body Slam,normal,physical,85,100,15,0,chosen,The user drops onto the target with its full body weight. This may also leave the target with paralysis.
wrap,Wrap,normal,physical,15,90,20,0,chosen,"A long body, vines, or the like are used to wrap and squeeze the target for four to five turns."
take-down,Take Down,normal,physical,90,85,20,0,chosen,"A reckless, full-body charge attack for slamming into the target. This also damages the user a little."
thrash,Thrash,normal,physical,120,100,10,0,random-opponent,The user rampages and attacks for two to three turns. The user then becomes confused.
double-edge,Double-Edge,normal,physical,120,100,15,0,chosen,"A reckless, life-risking tackle in which the user rushes the target. This also damages the user quite a lot."
tail-whip,Tail Whip,normal,status,,100,30,0,all-opponents,"The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stats."
poison-sting,Poison Sting,poison,physical,15,100,35,0,chosen,The user stabs the target with a poisonous stinger. This may also poison the target.
twineedle,Twineedle,bug,physical,25,100,20,0,chosen,The user damages the target twice in succession by jabbing it with two spikes. This may also poison the target.
pin-missile,Pin Missile,bug,physical,25,95,20,0,chosen,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.
leer,Leer,normal,status,,100,30,0,all-opponents,The user gives opposing Pokémon an intimidating leer that lowers the Defense stat.
bite,Bite,dark,physical,60,100,25,0,chosen,The target is bitten with viciously sharp fangs. This may also make the target flinch.
growl,Growl,normal,status,,100,40,0,all-opponents,"The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats."
roar,Roar,normal,status,,,20,-6,chosen,"The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
sing,Sing,normal,status,,55,15,0,chosen,A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.
supersonic,Supersonic,normal,status,,55,20,0,chosen,The user generates odd sound waves from its body that confuse the target.
sonic-boom,Sonic Boom,normal,special,,90,20,0,chosen,The target is hit with a destructive shock wave that always inflicts 20 HP damage.
disable,Disable,normal,status,,100,20,0,chosen,"For four turns, this move prevents the target from using the move it last used."
acid,Acid,poison,special,40,100,30,0,all-opponents,Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.
ember,Ember,fire,special,40,100,25,0,chosen,The target is attacked with small flames. This may also leave the target with a burn.
flamethrower,Flamethrower,fire,special,90,100,15,0,chosen,The target is scorched with an intense blast of fire. This may also leave the target with a burn.
mist,Mist,ice,status,,,30,0,user-side,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.
water-gun,Water Gun,water,special,40,100,25,0,chosen,The target is blasted with a forceful shot of water.
hydro-pump,Hydro Pump,water,special,110,80,5,0,chosen,The target is blasted by a huge volume of water launched under great pressure.
surf,Surf,water,special,90,100,15,0,all-others,The user attacks everything around it by swamping its surroundings with a giant wave.
