pokemon_identifier,entry_number,flavor_text
bulbasaur,1,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
bulbasaur,2,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow."
ivysaur,1,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
ivysaur,2,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
venusaur,1,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
venusaur,2,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.
venusaur-mega,1,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
venusaur-mega,2,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.
venusaur-gigantamax,1,"In battle, this Pokémon swings around two thick vines. If these vines slammed into a 10-story building, they could easily topple it. "
venusaur-gigantamax,2,Huge amounts of pollen burst from it with the force of a volcanic eruption. Breathing in too much of the pollen can cause fainting. 
charmander,1,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
charmander,2,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
charmeleon,1,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
charmeleon,2,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."
charizard,1,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
charizard,2,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
charizard-mega-x,1,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames. 
charizard-mega-x,2,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
charizard-mega-y,1,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames. 
charizard-mega-y,2,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
charizard-gigantamax,1,"This colossal, flame-winged figure of a Charizard was brought about by Gigantamax energy. "
charizard-gigantamax,2,"The flame inside its body burns hotter than 3,600 degrees Fahrenheit. When Charizard roars, that temperature climbs even higher. "
squirtle,1,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
squirtle,2,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth."
wartortle,1,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old."
wartortle,2,It cleverly controls its furry ears and tail to maintain its balance while swimming.
blastoise,1,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
