pokemon_identifier,move_identifier,level
bulbasaur,tackle,1
bulbasaur,growl,1
bulbasaur,vine-whip,5
bulbasaur,leech-seed,9
bulbasaur,poison-powder,14
bulbasaur,sleep-powder,14
bulbasaur,take-down,18
bulbasaur,razor-leaf,23
bulbasaur,growth,27
bulbasaur,double-edge,32
ivysaur,tackle,1
ivysaur,growl,1
ivysaur,vine-whip,1
ivysaur,leech-seed,1
ivysaur,vine-whip,5
ivysaur,leech-seed,9
ivysaur,poison-powder,14
ivysaur,sleep-powder,14
ivysaur,take-down,22
ivysaur,razor-leaf,31
ivysaur,growth,39
ivysaur,double-edge,48
ivysaur,solar-beam,56
venusaur,petal-dance,1
venusaur,amnesia,1
venusaur,power-whip,1
venusaur,tackle,1
venusaur,growl,1
venusaur,vine-whip,1
venusaur,leech-seed,1
venusaur,vine-whip,5
venusaur,leech-seed,9
venusaur,poison-powder,14
venusaur,sleep-powder,14
venusaur,take-down,22
venusaur,razor-leaf,31
venusaur,growth,44
venusaur,double-edge,58
venusaur,solar-beam,71
venusaur-mega,petal-dance,1
venusaur-mega,amnesia,1
venusaur-mega,power-whip,1
venusaur-mega,tackle,1
venusaur-mega,growl,1
venusaur-mega,vine-whip,1
venusaur-mega,leech-seed,1
venusaur-mega,vine-whip,5
venusaur-mega,leech-seed,9
venusaur-mega,poison-powder,14
venusaur-mega,sleep-powder,14
venusaur-mega,take-down,22
venusaur-mega,razor-leaf,31
venusaur-mega,growth,44
venusaur-mega,double-edge,58
venusaur-mega,solar-beam,71
charmander,scratch,1
charmander,growl,4
charmander,smokescreen,9
charmander,ember,13
charmander,fury-swipes,18
charmander,dragon-rage,22
charmander,fire-spin,27
charmander,slash,31
charmander,flamethrower,36
charmeleon,scratch,1
charmeleon,growl,1
charmeleon,smokescreen,1
charmeleon,ember,1
charmeleon,growl,4
charmeleon,smokescreen,9
charmeleon,ember,13
charmeleon,fury-swipes,20
charmeleon,dragon-rage,26
charmeleon,fire-spin,33
charmeleon,slash,39
charmeleon,flamethrower,46
charizard,wing-attack,1
charizard,counter,1
charizard,crunch,1
charizard,heat-wave,1
charizard,scratch,1
charizard,growl,1
charizard,smokescreen,1
charizard,ember,1
charizard,growl,4
charizard,smokescreen,9
charizard,ember,13
charizard,fury-swipes,20
charizard,dragon-rage,26
charizard,fire-spin,33
charizard,slash,43
charizard,flamethrower,54
charizard,air-slash,62
charizard,flare-blitz,75
charizard-mega-x,wing-attack,1
charizard-mega-x,counter,1
charizard-mega-x,crunch,1
charizard-mega-x,heat-wave,1
charizard-mega-x,scratch,1
charizard-mega-x,growl,1
charizard-mega-x,smokescreen,1
charizard-mega-x,ember,1
charizard-mega-x,growl,4
charizard-mega-x,smokescreen,9
charizard-mega-x,ember,13
charizard-mega-x,fury-swipes,20
charizard-mega-x,dragon-rage,26
charizard-mega-x,fire-spin,33
charizard-mega-x,slash,43
charizard-mega-x,flamethrower,54
charizard-mega-x,air-slash,62
charizard-mega-x,flare-blitz,75
charizard-mega-y,wing-attack,1
charizard-mega-y,counter,1
charizard-mega-y,crunch,1
charizard-mega-y,heat-wave,1
charizard-mega-y,scratch,1
charizard-mega-y,growl,1
charizard-mega-y,smokescreen,1
charizard-mega-y,ember,1
charizard-mega-y,growl,4
charizard-mega-y,smokescreen,9
charizard-mega-y,ember,13
