pokemon_identifier,move_identifier
bulbasaur,headbutt
bulbasaur,mega-drain
bulbasaur,solar-beam
bulbasaur,toxic
bulbasaur,light-screen
bulbasaur,reflect
bulbasaur,rest
bulbasaur,substitute
bulbasaur,protect
bulbasaur,sludge-bomb
bulbasaur,outrage
bulbasaur,facade
ivysaur,headbutt
ivysaur,mega-drain
ivysaur,solar-beam
ivysaur,toxic
ivysaur,light-screen
ivysaur,reflect
ivysaur,rest
ivysaur,substitute
ivysaur,protect
ivysaur,sludge-bomb
ivysaur,outrage
ivysaur,facade
venusaur,headbutt
venusaur,hyper-beam
venusaur,mega-drain
venusaur,solar-beam
venusaur,earthquake
venusaur,toxic
venusaur,light-screen
venusaur,reflect
venusaur,rest
venusaur,substitute
venusaur,protect
venusaur,sludge-bomb
venusaur,outrage
venusaur,facade
venusaur-mega,headbutt
venusaur-mega,hyper-beam
venusaur-mega,mega-drain
venusaur-mega,solar-beam
venusaur-mega,earthquake
venusaur-mega,toxic
venusaur-mega,light-screen
venusaur-mega,reflect
venusaur-mega,rest
venusaur-mega,substitute
venusaur-mega,protect
venusaur-mega,sludge-bomb
venusaur-mega,outrage
venusaur-mega,facade
charmander,fire-punch
charmander,thunder-punch
charmander,headbutt
charmander,flamethrower
charmander,seismic-toss
charmander,dig
charmander,toxic
charmander,reflect
charmander,fire-blast
charmander,rest
charmander,rock-slide
charmander,substitute
charmander,protect
charmander,outrage
charmander,iron-tail
charmander,will-o-wisp
charmander,facade
charmander,brick-break
charmander,dragon-pulse
charmeleon,fire-punch
charmeleon,thunder-punch
charmeleon,headbutt
charmeleon,flamethrower
charmeleon,seismic-toss
charmeleon,dig
charmeleon,toxic
charmeleon,reflect
charmeleon,fire-blast
charmeleon,rest
charmeleon,rock-slide
charmeleon,substitute
charmeleon,protect
charmeleon,outrage
charmeleon,iron-tail
charmeleon,will-o-wisp
charmeleon,facade
charmeleon,brick-break
charmeleon,dragon-pulse
charizard,fire-punch
charizard,thunder-punch
charizard,fly
charizard,headbutt
charizard,flamethrower
charizard,hyper-beam
charizard,seismic-toss
charizard,solar-beam
charizard,earthquake
charizard,dig
charizard,toxic
charizard,reflect
charizard,fire-blast
charizard,rest
charizard,rock-slide
charizard,substitute
charizard,protect
charizard,outrage
charizard,iron-tail
charizard,will-o-wisp
charizard,facade
charizard,brick-break
charizard,roost
charizard,dragon-pulse
charizard,dragon-tail
charizard-mega-x,fire-punch
charizard-mega-x,thunder-punch
charizard-mega-x,fly
charizard-mega-x,headbutt
charizard-mega-x,flamethrower
charizard-mega-x,hyper-beam
charizard-mega-x,seismic-toss
charizard-mega-x,solar-beam
charizard-mega-x,earthquake
charizard-mega-x,dig
charizard-mega-x,toxic
charizard-mega-x,reflect
charizard-mega-x,fire-blast
charizard-mega-x,rest
charizard-mega-x,rock-slide
charizard-mega-x,substitute
charizard-mega-x,protect
charizard-mega-x,outrage
charizard-mega-x,iron-tail
charizard-mega-x,will-o-wisp
charizard-mega-x,facade
charizard-mega-x,brick-break
charizard-mega-x,roost
charizard-mega-x,dragon-pulse
charizard-mega-x,dragon-tail
charizard-mega-y,fire-punch
charizard-mega-y,thunder-punch
charizard-mega-y,fly
charizard-mega-y,headbutt
charizard-mega-y,flamethrower
charizard-mega-y,hyper-beam
charizard-mega-y,seismic-toss
charizard-mega-y,solar-beam
charizard-mega-y,earthquake
charizard-mega-y,dig
charizard-mega-y,toxic
charizard-mega-y,reflect
charizard-mega-y,fire-blast
charizard-mega-y,rest
charizard-mega-y,rock-slide
charizard-mega-y,substitute
charizard-mega-y,protect
charizard-mega-y,outrage
charizard-mega-y,iron-tail
charizard-mega-y,will-o-wisp
charizard-mega-y,facade
charizard-mega-y,brick-break
charizard-mega-y,roost
charizard-mega-y,dragon-pulse
charizard-mega-y,dragon-tail
squirtle,ice-punch
squirtle,headbutt
squirtle,surf
squirtle,ice-beam
squirtle,blizzard
squirtle,seismic-toss
squirtle,dig
squirtle,toxic
squirtle,reflect
squirtle,waterfall
squirtle,rest
squirtle,rock-slide
squirtle,substitute
squirtle,protect
squirtle,outrage
squirtle,iron-tail
squirtle,facade
squirtle,brick-break
squirtle,dragon-pulse
squirtle,scald
wartortle,ice-punch
wartortle,headbutt
wartortle,surf
wartortle,ice-beam
wartortle,blizzard
wartortle,seismic-toss
wartortle,dig
wartortle,toxic
wartortle,reflect
wartortle,waterfall
wartortle,rest
