pokemon_identifier,move_identifier
bulbasaur,max-strike
bulbasaur,max-overgrowth
bulbasaur,max-ooze
bulbasaur,max-mindstorm
bulbasaur,max-phantasm
bulbasaur,max-wyrmwind
bulbasaur,max-guard
ivysaur,max-strike
ivysaur,max-overgrowth
ivysaur,max-ooze
ivysaur,max-mindstorm
ivysaur,max-wyrmwind
ivysaur,max-guard
venusaur,max-strike
venusaur,max-overgrowth
venusaur,max-ooze
venusaur,max-quake
venusaur,max-mindstorm
venusaur,max-wyrmwind
venusaur,max-guard
venusaur-gigantamax,gmax-vine-lash
venusaur-gigantamax,max-strike
venusaur-gigantamax,max-ooze
venusaur-gigantamax,max-quake
venusaur-gigantamax,max-mindstorm
venusaur-gigantamax,max-wyrmwind
venusaur-gigantamax,max-guard
charmander,max-strike
charmander,max-flare
charmander,max-lightning
charmander,max-knuckle
charmander,max-ooze
charmander,max-quake
charmander,max-airstream
charmander,max-mindstorm
charmander,max-rockfall
charmander,max-wyrmwind
charmander,max-darkness
charmander,max-steelspike
charmander,max-guard
charmeleon,max-strike
charmeleon,max-flare
charmeleon,max-lightning
charmeleon,max-knuckle
charmeleon,max-ooze
charmeleon,max-quake
charmeleon,max-mindstorm
charmeleon,max-rockfall
charmeleon,max-wyrmwind
charmeleon,max-steelspike
charmeleon,max-guard
charizard,max-strike
charizard,max-flare
charizard,max-overgrowth
charizard,max-lightning
charizard,max-knuckle
charizard,max-ooze
charizard,max-quake
charizard,max-airstream
charizard,max-mindstorm
charizard,max-rockfall
charizard,max-wyrmwind
charizard,max-darkness
charizard,max-steelspike
charizard,max-guard
charizard-gigantamax,gmax-wildfire
charizard-gigantamax,max-strike
charizard-gigantamax,max-overgrowth
charizard-gigantamax,max-lightning
charizard-gigantamax,max-knuckle
charizard-gigantamax,max-ooze
charizard-gigantamax,max-quake
charizard-gigantamax,max-airstream
charizard-gigantamax,max-mindstorm
charizard-gigantamax,max-rockfall
charizard-gigantamax,max-wyrmwind
charizard-gigantamax,max-darkness
charizard-gigantamax,max-steelspike
charizard-gigantamax,max-guard
squirtle,max-strike
squirtle,max-geyser
squirtle,max-hailstorm
squirtle,max-knuckle
squirtle,max-ooze
squirtle,max-quake
squirtle,max-mindstorm
squirtle,max-rockfall
squirtle,max-wyrmwind
squirtle,max-darkness
squirtle,max-steelspike
squirtle,max-guard
wartortle,max-strike
wartortle,max-geyser
wartortle,max-hailstorm
wartortle,max-knuckle
wartortle,max-ooze
wartortle,max-quake
wartortle,max-mindstorm
wartortle,max-rockfall
wartortle,max-wyrmwind
wartortle,max-darkness
wartortle,max-steelspike
wartortle,max-guard
blastoise,max-strike
blastoise,max-geyser
blastoise,max-hailstorm
blastoise,max-knuckle
blastoise,max-ooze
blastoise,max-quake
blastoise,max-mindstorm
blastoise,max-rockfall
blastoise,max-wyrmwind
blastoise,max-darkness
blastoise,max-steelspike
blastoise,max-guard
blastoise-gigantamax,gmax-cannonade
blastoise-gigantamax,max-strike
blastoise-gigantamax,max-hailstorm
blastoise-gigantamax,max-knuckle
blastoise-gigantamax,max-ooze
blastoise-gigantamax,max-quake
blastoise-gigantamax,max-mindstorm
blastoise-gigantamax,max-rockfall
blastoise-gigantamax,max-wyrmwind
blastoise-gigantamax,max-darkness
blastoise-gigantamax,max-steelspike
blastoise-gigantamax,max-guard
caterpie,max-strike
caterpie,max-lightning
caterpie,max-flutterby
caterpie,max-guard
metapod,max-lightning
metapod,max-flutterby
metapod,max-steelspike
metapod,max-guard
butterfree,max-strike
butterfree,max-overgrowth
butterfree,max-lightning
butterfree,max-ooze
butterfree,max-airstream
butterfree,max-mindstorm
butterfree,max-flutterby
butterfree,max-phantasm
butterfree,max-guard
butterfree-gigantamax,gmax-befuddle
butterfree-gigantamax,max-strike
butterfree-gigantamax,max-overgrowth
butterfree-gigantamax,max-lightning
butterfree-gigantamax,max-ooze
