pokemon_identifier,move_identifier
bulbasaur,grass-pledge
ivysaur,grass-pledge
venusaur,frenzy-plant
venusaur,grass-pledge
venusaur-mega,bind
venusaur-mega,snore
venusaur-mega,outrage
venusaur-mega,giga-drain
venusaur-mega,synthesis
venusaur-mega,knock-off
venusaur-mega,block
venusaur-mega,frenzy-plant
venusaur-mega,worry-seed
venusaur-mega,seed-bomb
venusaur-mega,grass-pledge
venusaur-mega,stomping-tantrum
charmander,fire-pledge
charmeleon,fire-pledge
charizard,blast-burn
charizard,fire-pledge
charizard-mega-x,fire-punch
charizard-mega-x,thunder-punch
charizard-mega-x,snore
charizard-mega-x,outrage
charizard-mega-x,iron-tail
charizard-mega-x,heat-wave
charizard-mega-x,focus-punch
charizard-mega-x,blast-burn
charizard-mega-x,tailwind
charizard-mega-x,dragon-pulse
charizard-mega-x,defog
charizard-mega-x,fire-pledge
charizard-mega-y,fire-punch
charizard-mega-y,thunder-punch
charizard-mega-y,snore
charizard-mega-y,outrage
charizard-mega-y,iron-tail
charizard-mega-y,heat-wave
charizard-mega-y,focus-punch
charizard-mega-y,blast-burn
charizard-mega-y,tailwind
charizard-mega-y,dragon-pulse
charizard-mega-y,defog
charizard-mega-y,fire-pledge
squirtle,water-pledge
wartortle,water-pledge
blastoise,hydro-cannon
blastoise,water-pledge
blastoise-mega,ice-punch
blastoise-mega,snore
blastoise-mega,icy-wind
blastoise-mega,outrage
blastoise-mega,iron-tail
blastoise-mega,focus-punch
blastoise-mega,hydro-cannon
blastoise-mega,signal-beam
blastoise-mega,iron-defense
blastoise-mega,water-pulse
blastoise-mega,aqua-tail
blastoise-mega,dragon-pulse
blastoise-mega,zen-headbutt
blastoise-mega,water-pledge
blastoise-mega,liquidation
caterpie,snore
caterpie,bug-bite
caterpie,electroweb
metapod,iron-defense
metapod,bug-bite
metapod,electroweb
butterfree,snore
butterfree,giga-drain
butterfree,skill-swap
butterfree,signal-beam
butterfree,tailwind
butterfree,defog
butterfree,bug-bite
butterfree,electroweb
weedle,bug-bite
weedle,electroweb
kakuna,iron-defense
kakuna,bug-bite
kakuna,electroweb
beedrill,snore
beedrill,giga-drain
beedrill,knock-off
beedrill,endeavor
beedrill,tailwind
beedrill,defog
beedrill,bug-bite
beedrill,electroweb
beedrill,drill-run
beedrill,laser-focus
beedrill,throat-chop
beedrill-mega,snore
beedrill-mega,giga-drain
beedrill-mega,knock-off
beedrill-mega,endeavor
beedrill-mega,tailwind
beedrill-mega,defog
beedrill-mega,bug-bite
beedrill-mega,electroweb
beedrill-mega,drill-run
beedrill-mega,laser-focus
beedrill-mega,throat-chop
pidgey,sky-attack
pidgey,snore
pidgey,uproar
pidgey,heat-wave
pidgey,tailwind
pidgey,defog
pidgeotto,sky-attack
pidgeotto,snore
pidgeotto,uproar
pidgeotto,heat-wave
