pokemon_identifier,stat_identifier,base_stat
bulbasaur,hp,45
bulbasaur,atk,49
bulbasaur,def,49
bulbasaur,spatk,65
bulbasaur,spdef,65
bulbasaur,spe,45
ivysaur,hp,60
ivysaur,atk,62
ivysaur,def,63
ivysaur,spatk,80
ivysaur,spdef,80
ivysaur,spe,60
venusaur,hp,80
venusaur,atk,82
venusaur,def,83
venusaur,spatk,100
venusaur,spdef,100
venusaur,spe,80
venusaur-mega,hp,80
venusaur-mega,atk,100
venusaur-mega,def,123
venusaur-mega,spatk,122
venusaur-mega,spdef,120
venusaur-mega,spe,80
charmander,hp,39
charmander,atk,52
charmander,def,43
charmander,spatk,60
charmander,spdef,50
charmander,spe,65
charmeleon,hp,58
charmeleon,atk,64
charmeleon,def,58
charmeleon,spatk,80
charmeleon,spdef,65
charmeleon,spe,80
charizard,hp,78
charizard,atk,84
charizard,def,78
charizard,spatk,109
charizard,spdef,85
charizard,spe,100
charizard-mega-x,hp,78
charizard-mega-x,atk,130
charizard-mega-x,def,111
charizard-mega-x,spatk,130
charizard-mega-x,spdef,85
charizard-mega-x,spe,100
charizard-mega-y,hp,78
charizard-mega-y,atk,104
charizard-mega-y,def,78
charizard-mega-y,spatk,159
charizard-mega-y,spdef,115
charizard-mega-y,spe,100
charizard-gigantamax,hp,78
charizard-gigantamax,atk,84
charizard-gigantamax,def,78
charizard-gigantamax,spatk,109
charizard-gigantamax,spdef,85
charizard-gigantamax,spe,100
squirtle,hp,44
squirtle,atk,48
squirtle,def,65
squirtle,spatk,50
squirtle,spdef,64
squirtle,spe,43
wartortle,hp,59
wartortle,atk,63
wartortle,def,80
wartortle,spatk,65
wartortle,spdef,80
wartortle,spe,58
blastoise,hp,79
blastoise,atk,83
blastoise,def,100
blastoise,spatk,85
blastoise,spdef,105
blastoise,spe,78
blastoise-mega,hp,79
blastoise-mega,atk,103
blastoise-mega,def,120
blastoise-mega,spatk,135
blastoise-mega,spdef,115
blastoise-mega,spe,78
caterpie,hp,45
caterpie,atk,30
caterpie,def,35
caterpie,spatk,20
caterpie,spdef,20
caterpie,spe,45
metapod,hp,50
metapod,atk,20
metapod,def,55
metapod,spatk,25
metapod,spdef,25
metapod,spe,30
butterfree,hp,60
butterfree,atk,45
butterfree,def,50
butterfree,spatk,90
butterfree,spdef,80
butterfree,spe,70
butterfree-gigantamax,hp,60
butterfree-gigantamax,atk,45
butterfree-gigantamax,def,50
butterfree-gigantamax,spatk,90
butterfree-gigantamax,spdef,80
butterfree-gigantamax,spe,70
weedle,hp,40
weedle,atk,35
weedle,def,30
weedle,spatk,20
weedle,spdef,20
weedle,spe,50
kakuna,hp,45
kakuna,atk,25
kakuna,def,50
kakuna,spatk,25
kakuna,spdef,25
kakuna,spe,35
beedrill,hp,65
beedrill,atk,90
beedrill,def,40
beedrill,spatk,45
beedrill,spdef,80
beedrill,spe,75
beedrill-mega,hp,65
beedrill-mega,atk,150
beedrill-mega,def,40
beedrill-mega,spatk,15
beedrill-mega,spdef,80
beedrill-mega,spe,145
pidgey,hp,40
pidgey,atk,45
pidgey,def,40
pidgey,spatk,35
pidgey,spdef,35
pidgey,spe,56
pidgeotto,hp,63
pidgeotto,atk,60
pidgeotto,def,55
pidgeotto,spatk,50
pidgeotto,spdef,50
pidgeotto,spe,71
